HotelID,Name Hotel,Location,Descriptions,Rating
1419,May De Ville Premier Hotel & Spa,Hà Nội,"Tọa lạc ở thành phố Hà Nội, cách Ô Quan Chưởng 300 m, May De Ville Premier Hotel & Spa có hồ bơi ngoài trời, quầy bar và tầm nhìn ra quang cảnh thành phố. Trong số các tiện nghi của chỗ nghỉ này có nhà hàng, lễ tân 24 giờ, dịch vụ phòng và Wi-Fi miễn phí trong toàn bộ khuôn viên. Du khách có thể thưởng thức đồ uống tại quầy bar thức ăn nhẹ. Phòng nghỉ tại khách sạn được trang bị máy điều hòa, khu vực ghế ngồi, TV màn hình phẳng với các kênh truyền hình vệ tinh, két an toàn và phòng tắm riêng với vòi sen, dép đi trong phòng cùng máy sấy tóc. Các phòng còn có bàn làm việc và ấm đun nước. May De Ville Premier Hotel & Spa phục vụ bữa sáng buffet hoặc bữa sáng kiểu lục địa. Chỗ nghỉ có sân hiên. Khu vực này nổi tiếng với hoạt động đạp xe và du khách có thể thuê xe đạp tại May De Ville Premier Hotel & Spa. Các điểm tham quan nổi tiếng gần khách sạn gồm có Nhà hát Múa rối nước Thăng Long, Hồ Hoàn Kiếm và Nhà thờ Lớn Hà Nội. Sân bay gần nhất là sân bay quốc tế Nội Bài, cách May De Ville Premier Hotel & Spa 25 km và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",8.8
1420,Sweet Lavender Hotel - Near Dalat Night Market,Đà Lạt,"Sweet Lavender Hotel - Near Dalat Night Market cung cấp chỗ nghỉ với khu vườn tại thành phố Đà Lạt thuộc tỉnh Lâm Đồng, cách Quảng trường Lâm Viên 1,8 km và Hồ Xuân Hương 2 km. Khách sạn 2 sao này có bàn đặt tour và phòng giữ hành lý. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên. Mỗi phòng nghỉ tại khách sạn đều được trang bị TV màn hình phẳng trong khi một số phòng có ban công. Sweet Lavender Hotel - Near Dalat Night Market nằm trong bán kính 2,2 km từ Công viên Yersin và 3,3 km từ Vườn hoa Đà Lạt. Sân bay gần nhất là sân bay Liên Khương, cách chỗ nghỉ 30 km.",7.4
1421,Happy Land Hotel,TP. Hồ Chí Minh,"Happy Land Hotel là khách sạn boutique nằm tại Thành phố Hồ Chí Minh, cách cả Chợ Bến Thành và Bảo tàng Thành phố Hồ Chí Minh 300 m. Khách có thể truy cập WiFi miễn phí trong toàn bộ khách sạn. Chỗ đỗ xe riêng nằm ngay trong khuôn viên. Mỗi phòng nghỉ tại đây đều được trang bị truyền hình cáp. Một số phòng còn có khu vực tiếp khách để khách có thể thư giãn. Phòng đi kèm phòng tắm riêng với vòi sen. Dép đi trong phòng và đồ vệ sinh cá nhân miễn phí cũng được cung cấp. Khách sạn có lễ tân 24 giờ. Dinh Thống Nhất nằm trong bán kính 400 m từ Happy Land Hotel trong khi Thương Xá Tax cách khách sạn 500 m. Sân bay Quốc tế Tân Sơn Nhất cách khách sạn 7 km.",6.6
1422,DTC Hotel,Đà Nẵng,"Chỗ nghỉ này nằm trong bán kính khoảng 1,6 km từ Bãi biển Bắc Mỹ An, 1,8 km từ Cầu khóa Tình yêu và 2,4 km từ Cầu Sông Hàn. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và phòng giữ hành lý cho khách. Phòng nghỉ tại DTC Hotel được bố trí ấm đun nước, TV màn hình phẳng, máy điều hòa và phòng tắm riêng với dép. Một số phòng còn có ban công. Các phòng được trang bị ga trải giường và khăn tắm. Bảo tàng Chăm và Trung tâm thương mại Indochina Riverside đều nằm trong bán kính 2,5 km từ DTC Hotel. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách khách sạn 5 km.",5.7
1423,Hoa My II Hotel - Hoianese Old Town Hotel,Hội An,"Hoa My II có nhà hàng, hồ bơi trong nhà và cung cấp các phòng với Wi-Fi miễn phí. Nằm trên đường Trần Cao Vân, khách sạn cách vài bước chân từ khu trung tâm thành phố Hội An, Di sản Thế giới được UNESCO công nhận. Tất cả các phòng đều được trang bị máy điều hòa và cho tầm nhìn ra quang cảnh thành phố. Bữa sáng được phục vụ hàng ngày. Quý khách cũng có thể thưởng thức các món ăn Âu và Á tại nhà hàng trong khuôn viên. Các phòng nghỉ rộng rãi được trang bị TV, bàn làm việc, tủ lạnh mini và khu vực ghế ngồi. Phòng tắm riêng đi kèm đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Ngoài ra, Hoa My II cũng có quán café Internet nhỏ, bàn đặt tour và dịch vụ đặt vé. Chỗ nghỉ có thể sắp xếp dịch vụ đưa đón sân bay và cho thuê xe đạp kèm phụ phí. Quý khách có thể yêu cầu dịch vụ giặt thường và giặt hấp tại đây. Bãi biển An Bàng cách chỗ nghỉ 4 km, còn sân bay quốc tế Đà Nẵng cách đó 30 km.",6.8
1424,Sapa Catcat Hills Resort & Spa,Sa Pa,"Tọa lạc tại thị xã Sa Pa, cách Ga cáp treo Fansipan Legend 6,5 km, Sapa Catcat Hills Resort & Spa cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và quầy bar. Resort này có khu vườn và nằm gần một số điểm tham quan nổi tiếng, cách Hồ Sa Pa khoảng 1,7 km, Nhà thờ Đá Sa Pa 1,1 km và Bến xe Sa Pa 1,5 km. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Phòng nghỉ gắn máy điều hòa tại resort được trang bị tủ để quần áo, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. WiFi được cung cấp miễn phí cho tất cả các khách trong khi một số phòng có ban công. Sapa Catcat Hills Resort & Spa phục vụ bữa sáng kiểu lục địa hoặc bữa sáng kiểu Mỹ. Chỗ nghỉ có sân hiên. Vườn hoa Hàm Rồng - Núi Hàm Rồng nằm trong bán kính 2 km từ Sapa Catcat Hills Resort & Spa trong khi Thung lũng Mường Hoa cách đó 13 km. Sân bay gần nhất là sân bay Điện Biên Phủ, cách resort 269 km.",6.8
1425,Thu Linh Villa,Đà Lạt,"Biệt thự này cung cấp chỗ nghỉ với ban công. Biệt thự được bố trí 5 phòng ngủ, bếp với tủ lạnh cùng bếp nấu ăn, TV màn hình phẳng, khu vực ghế ngồi và 5 phòng tắm đi kèm vòi xịt/chậu rửa vệ sinh. Biệt thự cung cấp khăn tắm và ga trải giường cho khách. Biệt thự nằm cách Quảng trường Lâm Viên 4,1 km và Hồ Xuân Hương 4,2 km. Sân bay gần nhất là sân bay Liên Khương, nằm trong bán kính 32 km từ Thu Linh Villa.",8
1426,The Sunriver Boutique Hotel,Huế,"The Sunriver Boutique Hotel nằm cạnh Sông Hương và Cầu Tràng Tiền. Nơi đây cung cấp WiFi miễn phí và chỗ nghỉ với tầm nhìn tuyệt đẹp ra dòng sông. Chỗ nghỉ này có hồ bơi và nhà hàng. The Sunriver Boutique Hotel nằm cách Hoàng thành Huế 15 phút đi bộ và Lăng mộ Triều Nguyễn 30 phút lái xe. The Sunriver Boutique Hotel cung cấp phòng nghỉ gắn máy điều hòa rộng rãi với ban công riêng. Các phòng có bồn tắm, TV truyền hình vệ tinh, tiện nghi pha trà/cà phê và khu vực ghế ngồi. Du khách có thể thư giãn ở hồ bơi ngoài trời trong khuôn viên. Du khách có thể thưởng thức đặc sản địa phương và các bữa ăn phương Tây tại nhà hàng The Royal Restaurant cũng như ngắm nhìn bao quát quang cảnh thành phố tại quán Sky Bar. Nơi đây phục vụ các món ăn nhẹ và có thực đơn đồ uống tuyệt vời. Dịch vụ phòng được cung cấp 24/24.",6.4
1427,Eclipse Legend Hotel,Hà Nội,"Nằm ở thành phố Hà Nội, Eclipse Legend Hotel cách Hồ Hoàn Kiếm 400 m. Nơi nghỉ có nhà hàng, quán bar, và truy cập Wi-Fi miễn phí trong khuôn viên. Mỗi phòng được trang bị máy lạnh, truyền hình cáp màn hình phẳng, minibar, két an toàn cá nhân cùng tủ quần áo. Phòng tắm riêng đi kèm tiện nghi vòi sen, đồ vệ sinh cá nhân và máy sấy tóc. Dịch vụ phòng cũng được cung cấp tại đây. Khách sạn cách Đền Ngọc Sơn 400 m. Sân bay Quốc tế Nội Bài cách đó 21 km. Việc đi lại có thể được thu xếp tại bàn đặt tour. Nhân viên tại quầy lễ tân 24 giờ có thể hỗ trợ khách với các dịch vụ giữ hành lý, giặt là và ủi. Dịch vụ đưa đón sân bay và cho thuê phương tiện đi lại cũng được cung cấp.",7.6
1429,Do Gia Betania Da Lat,Đà Lạt,"Tọa lạc tại thành phố Đà Lạt, cách Quảng trường Lâm Viên 1,5 km, Do Gia Betania Da Lat cung cấp chỗ nghỉ với quầy bar, chỗ đỗ xe riêng miễn phí, sảnh khách chung và khu vườn. Khách sạn này có các phòng gia đình và sân hiên. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Phòng nghỉ tại khách sạn có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. WiFi được cung cấp miễn phí cho tất cả các khách trong khi một số phòng còn có ban công. Tất cả các phòng đều được trang bị tủ để quần áo và ấm đun nước. Các điểm tham quan nổi tiếng gần Do Gia Betania Da Lat bao gồm Hồ Xuân Hương, Công viên Yersin và Biệt thự Hằng Nga (Ngôi nhà điên). Sân bay gần nhất là sân bay Liên Khương, cách chỗ nghỉ 29 km.",6
1430,Boutique Hotel By Diamond Suites,TP. Hồ Chí Minh,"Khách sạn có trung tâm dịch vụ doanh nhân, nhà hàng và truy cập Wi-Fi miễn phí. Từ Boutique Hotel By Diamond Suites, du khách chỉ cần lái xe 30 phút là đến Chợ Bến Thành và 45 phút là tới Sân bay Quốc tế Tân Sơn Nhất. Các phòng nghỉ được trang trí sang trọng tại đây có sàn lát gạch hay sàn gỗ, máy lạnh, truyền hình cáp màn hình phẳng và minibar. Trong phòng tắm riêng có máy sấy tóc. Nhà hàng của Boutique Garden phục vụ thực đơn lập sẵn cho bữa sáng với tuyển chọn các món ăn châu Á hoặc phương Tây. Dịch vụ ăn uống tại phòng cũng được cung cấp. Ngoài ra, các nhà hàng, quầy bar và quán rượu đều nằm cách nơi này chỉ 5 phút đi bộ. Khách sạn có lễ tân 24 giờ. Nhân viên tại đây có thể hỗ trợ khách với các dịch vụ giặt là, giữ hành lý và đặt vé. Chỗ đỗ xe riêng cho khách được cung cấp miễn phí.",7.1
1431,Sunny Capony nơi lưu giữ trải nghiệm tuyệt vời,Vũng Tàu,"Chỗ nghỉ này có ban công. Căn hộ gắn máy điều hòa này được bố trí 2 phòng ngủ, TV màn hình phẳng và bếp. Căn hộ nằm cách Ngọn hải đăng Vũng Tàu 2,7 km và Tượng Chúa Kitô Vua 2,9 km. Sân bay gần nhất là sân bay quốc tế Tân Sơn Nhất, nằm trong bán kính 71 km từ Sunny Capony nơi lưu giữ trải nghiệm tuyệt vời.",8
1432,Pavi home,Sa Pa,"Nằm cách Ga cáp treo Fansipan Legend 11 km, Pavi home có xe đạp cho khách sử dụng miễn phí, quầy bar cũng như chỗ nghỉ gắn máy điều hòa với ban công và WiFi miễn phí. Mỗi căn tại đây đều được bố trí phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, dép đi trong phòng, máy sấy tóc và đồ vệ sinh cá nhân miễn phí. Khách nghỉ tại homestay này có thể thưởng thức bữa sáng à la carte. Pavi home có khu vườn và sân hiên phơi nắng. Núi Fansipan nằm trong bán kính 15 km từ chỗ nghỉ trong khi Hồ Sa Pa cách đó 9 km.",8.1
1433,Gardenia Hue Hotel,Huế,"Tọa lạc tại thành phố Huế, nằm trong bán kính 2,5 km từ Cầu Tràng Tiền, Gardenia Hue Hotel có tầm nhìn ra thành phố. Trong số các tiện nghi của khách sạn này có dịch vụ phòng, dịch vụ concierge, bếp chung và Wi-Fi miễn phí trong toàn bộ khuôn viên. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách. Phòng nghỉ tại khách sạn có máy điều hòa, truyền hình vệ tinh màn hình phẳng, đầu đĩa DVD và phòng tắm riêng với vòi sen, máy sấy tóc cùng đồ vệ sinh cá nhân miễn phí. Bàn làm việc và ấm đun nước cũng được trang bị trong tất cả các phòng. Khách nghỉ tại Gardenia Hue Hotel có thể thưởng thức bữa sáng tự chọn hoặc gọi món. Khách sạn nằm cách Bảo tàng Cổ vật Cung đình Huế 2,8 km và Chợ Đông Ba 2,9 km. Sân bay gần nhất là sân bay Phú Bài, cách đó 15 km, và Gardenia Hue Hotel cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.8
1434,Aroma Nha Trang Boutique Hotel,Nha Trang,"Nằm ở thành phố Nha Trang, cách Bãi biển Nha Trang 300 m, Aroma Nha Trang Boutique Hotel cung cấp chỗ nghỉ bên bờ biển với nhiều tiện nghi như nhà hàng, hồ bơi ngoài trời và sảnh khách chung. Chỗ nghỉ này có bồn nước nóng và dịch vụ cho thuê xe hơi. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ văn phòng và dịch vụ thu đổi ngoại tệ cho khách. Mỗi phòng nghỉ tại Aroma Nha Trang Boutique Hotel đều được bố trí máy điều hòa, khu vực ghế ngồi, TV truyền hình cáp màn hình phẳng, két an toàn, ấm đun nước và phòng tắm riêng với dép cùng máy sấy tóc. Một số phòng có ban công trong khi những phòng còn lại cho tầm nhìn ra biển. Tất cả các phòng được trang bị ga trải giường và khăn tắm. Chỗ nghỉ phục vụ bữa sáng buffet hoặc bữa sáng kiểu Á. Aroma Nha Trang Boutique Hotel có sân hiên tắm nắng. Các điểm tham quan nổi tiếng gần khách sạn bao gồm quán Sailing Club, Trung tâm Thuyền buồm Việt Nam và Quảng trường 2/4. Sân bay gần nhất là sân bay quốc tế Cam Ranh, nằm trong bán kính 37 km từ Aroma Nha Trang Boutique Hotel, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.2
1435,Seven House - Hotel & Apartment,Đà Nẵng,"Nằm ở trung tâm thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 2,6 km và Bãi biển Thanh Bình 3 km, Seven House - Hotel & Apartment cung cấp chỗ nghỉ với WiFi miễn phí và chỗ đỗ xe riêng miễn phí. Chỗ nghỉ được bố trí máy điều hòa, bếp đầy đủ vật dụng, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, dép đi trong phòng cùng máy sấy tóc. Một số căn có khu vực ghế ngồi và/hoặc ban công. Khách sạn căn hộ này có sân hiên. Seven House - Hotel & Apartment cung cấp dịch vụ cho thuê xe đạp. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Bảo tàng Chăm, Cầu khóa Tình yêu và Trung tâm thương mại Indochina Riverside. Sân bay gần nhất là Sân bay Quốc tế Đà Nẵng, nằm trong bán kính 3 km từ Seven House - Hotel & Apartment, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",6.7
1436,Thu Bon Riverside Homestay,Hội An,"Nơi nghỉ này có quầy bar bán đồ ăn nhanh và truy cập WiFi miễn phí. Chỗ đỗ xe công cộng cũng được cung cấp miễn phí. Chỗ ở tại nhà dân này cách Hội Quán Triều Châu Trung Quốc 800 m và cách Hội Quán Hải Nam Trung Quốc 900 m. Sân bay Quốc tế Đà Nẵng cách đó 24 km. Các phòng nghỉ tại đây có tầm nhìn ra quang cảnh dòng sông, TV màn hình phẳng, ổ cắm cho iPod, tủ quần áo và minibar. Phòng tắm riêng có tiện nghi bồn tắm và vòi sen, đồ vệ sinh cá nhân cùng dép đi trong phòng. Quý khách có thể sắp xếp việc đi tham quan tại bàn đặt tour hoặc đến lễ tân 24 giờ để được hỗ trợ với các dịch vụ để hành lý, đặt vé, cho thuê xe hơi và thu đổi ngoại tệ.",7.5
1437,HAPPY HOUSE PREMIER APARTMENT - Căn hộ cao cấp 3 phòng ngủ,Huế,"Tọa lạc tại thành phố Huế, cách Chợ Đông Ba 3,2 km, HAPPY HOUSE - Căn hộ cao cấp 3 phòng ngủ cung cấp chỗ nghỉ với khu vườn, WiFi miễn phí và lễ tân 24 giờ. Căn hộ này có chỗ nghỉ gắn máy điều hòa với ban công. Căn hộ này được bố trí 3 phòng ngủ, khu vực bếp ăn với lò vi sóng và tủ lạnh, TV màn hình phẳng, khu vực ghế ngồi cũng như 2 phòng tắm đi kèm vòi xịt/chậu rửa vệ sinh. Chỗ nghỉ cung cấp khăn tắm và ga trải giường cho khách. Căn hộ có sân hiên để khách thư giãn. HAPPY HOUSE - Căn hộ cao cấp 3 phòng ngủ nằm cách Cầu Tràng Tiền 3,3 km và Chùa Chiêu Ứng 3,5 km. Sân bay gần nhất là sân bay Phú Bài, cách đó 11 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",8.6
1438,SILA Urban Living,TP. Hồ Chí Minh,"Phù hợp với các kỳ nghỉ ngắn ngày và dài ngày, chỗ nghỉ này có nội thất hiện đại đầy phong cách. Dinh Thống Nhất nằm trong bán kính 700 m từ chỗ nghỉ này. Chỗ nghỉ cung cấp WiFi miễn phí trong toàn bộ khuôn viên. Chỗ ở tại đây có cửa sổ vách kính, tầm nhìn ra quang cảnh thành phố, TV màn hình phẳng LED cũng như khu vực tiếp khách và ăn uống. Tất cả chỗ ở được bố trí bếp với lò nướng, lò vi sóng, máy nướng bánh mỳ, tủ lạnh, bếp nấu và ấm đun nước. Mỗi chỗ ở đều có phòng tắm riêng với vòi sen và đồ vệ sinh cá nhân miễn phí. SILA Urban Living có hồ bơi ngoài trời dài 20 m, CLB chăm sóc sức khỏe với phòng tập thể dục 24 giờ, phòng xông hơi ướt, hồ bơi spa và phòng tập yoga. Chỗ nghỉ này còn có cả cửa hàng tiện lợi. Kết hợp các món ăn truyền thống ngon nhất của Pháp với không gian hiện đại của khách sạn thời thượng nhất Sài Gòn, nhà hàng Cocotte Bistro mong muốn làm hài lòng và kích thích vị giác của những người sành ăn khó tính nhất. SILA Urban Living nằm cách Công viên Tao Đàn 800 m. Sân bay quốc tế Tân Sơn Nhất nằm trong bán kính 6 km từ chỗ nghỉ này.",7.3
1439,Duy Ninh Hotel,Vũng Tàu,"Chỗ nghỉ này nằm cách Tượng Chúa Ki-tô Vua 2,3 km, Bạch Dinh 4,1 km và Ngọn hải đăng Vũng Tàu 6 km. Chỗ nghỉ có lễ tân 24 giờ, phòng giữ hành lý và dịch vụ đỗ xe cho khách. Phòng nghỉ tại Duy Ninh Hotel được trang bị bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các phòng đều có máy điều hòa và két an toàn. Khu du lịch sinh thái Hồ Mây nằm cách chỗ nghỉ 9 km trong khi Bến tàu Cánh ngầm cách đó 3 km. Sân bay gần nhất là sân bay quốc tế Tân Sơn Nhất, cách Duy Ninh Hotel 72 km.",6.8
1441,Hoi An Emerald Riverside Villas & Hotel,Hội An,"Nằm ở thành phố Hội An, Hoi An Emerald Riverside Villa & Hotel có nhà hàng, lễ tân 24 giờ, quầy bar, vườn, hồ bơi ngoài trời mở cửa quanh năm, sân hiên và tầm nhìn ra quang cảnh thành phố. Biệt thự cung cấp miễn phí cả WiFi lẫn chỗ đỗ xe riêng. Các căn tại đây có sân trong, máy điều hòa, TV màn hình phẳng và phòng tắm riêng đi kèm vòi sen cùng áo choàng tắm. Để thêm phần thuận tiện cho du khách, chỗ nghỉ có thể cung cấp khăn tắm và ga trải giường với một khoản phụ phí. Hoi An Emerald Riverside Villas & Hotel phục vụ bữa sáng à la carte hoặc kiểu Á. Sau một ngày đi bộ đường dài hoặc đi xe đạp, du khách có thể thư giãn trong khu vực tiếp khách chung. Chỗ nghỉ nằm cách Bãi biển Cửa Đại 1,5 km và Bãi biển An Bàng 1,7 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 29 km từ Hoi An Emerald Riverside Villas & Hotel, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.5
1442,Hotel de l'Opera Hanoi - MGallery,Hà Nội,"Lấy cảm hứng từ nước Pháp thế kỷ 19, khách sạn đầy phong cách này có tiện nghi tập thể dục và hồ bơi trong nhà. Các phòng nghỉ trang nhã tại đây được trang bị đồ nội thất có thiết kế riêng mang phong cách châu Âu và nổi bật với những bức tường treo các tác phẩm nghệ thuật. Mỗi phòng đều có TV màn hình phẳng và Wi-Fi miễn phí. Phòng tắm sang trọng đi kèm khu vực tắm vòi sen. Từ Hotel de l'Opera Hanoi - MGallery Collection, quý khách chỉ cần đi bộ 15 phút là đến Khu Phố Cổ Hà Nội và đi khoảng 45 phút là đến Sân bay Quốc tế Nội Bài. Sau một ngày hoạt động, quý khách có thể tận hưởng dịch vụ mát-xa thư giãn tại spa trên tầng 3 hay sử dụng tiện nghi phòng xông hơi khô. Khách sạn cung cấp dịch vụ tour du lịch, cho thuê xe hơi và xe đạp để quý khách có thể dễ dàng khám phá thủ đô Hà Nội. Ngoài ra, khách sạn còn có các dịch vụ hỗ trợ doanh nhân như dịch thuật, fax miễn phí tới các số địa phương và đánh máy. Nhà hàng Café Lautrec đem đến cho quý khách trải nghiệm ăn uống với đủ loại món ăn quốc tế cả ngày trong khi quán Satine phục vụ ẩm thực truyền thống của Việt Nam.",6.8
1443,Maya Boutique Hotel & Spa,Hà Nội,"Maya Boutique Hotel & Spa nằm trong bán kính 5 phút đi bộ từ Chợ Đồng Xuân, Hồ Hoàn Kiếm và phố mua sắm. Khách sạn cung cấp phòng nghỉ được trang bị máy vi tính và truy cập Wi-Fi miễn phí. Maya Boutique Hotel & Spa cách Nhà hát Lớn 10 phút tản bộ và sân bay quốc tế Nội Bài 45 phút lái xe. Phòng nghỉ gắn máy điều hòa tại đây có́ sàn gỗ và phong cách trang trí cổ điển. Phòng được trang bị truyền hình cáp màn hình phẳng, minibar cũng như phòng tắm riêng đi kèm góc tắm vòi sen.  Nhà hàng phục vụ bữa sáng hàng ngày. Du khách có thể tận hưởng liệu pháp mát xa hoặc sử dụng trung tâm dịch vụ doanh nhân. Bàn đặt tour có thể thu xếp các chuyến đi cho khách. Khách sạn cũng có dịch vụ đưa đón sân bay suốt 24 giờ. Nhân viên ở quầy lễ tân 24 giờ có thể giúp du khách thu xếp dịch vụ thu đổi ngoại tệ, phòng giữ hành lý và dịch vụ cho thuê phương tiện đi lại. Két an toàn cũng được cung cấp cho khách.",7.4
1444,Thien Thanh Resort,Phú Quốc,"Resort này cung cấp Wi-Fi miễn phí. Khách nghỉ tại Thien Thanh Resort sẽ được tham gia các hoạt động trong và xung quanh Phú Quốc như đi xe đạp. Phòng nghỉ tại đây được trang bị TV truyền hình cáp màn hình phẳng, ấm đun nước, bồn tắm, đồ vệ sinh cá nhân miễn phí, bàn làm việc, máy điều hòa và tủ quần áo. Một số phòng còn có ban công.  Resort cung cấp bữa sáng tự chọn hoặc kiểu Mỹ. Du khách có thể ngắm nhìn cảnh hoàng hôn và thưởng thức cocktail tại quầy bar bên hồ bơi hoặc tham gia tiệc BBQ tự chọn hàng ngày trên bãi biển. Chỗ nghỉ còn có các dịch vụ và tiện nghi như trung tâm dịch vụ doanh nhân, máy ATM và báo. Du khách có thể tham gia vô số hoạt động tại resort như câu cá, câu mực, lặn với ống thở và lặn biển. Resort cũng cung cấp dịch vụ đưa đón sân bay miễn phí. Thien Thanh Resort nằm cách Chùa Sư Muôn 1,1 km và Chợ Đêm Phú Quốc 1,2 km. Sân bay gần nhất là Sân bay Quốc tế Phú Quốc, nằm trong bán kính 5 km từ resort.",6.8
1445,La Beaute Boutique Hotel & Spa,Hà Nội,"La Beaute Boutique Hotel & Spa có các phòng kiểu Pháp truyền thống với WiFi miễn phí tại khu phố cổ Hà Nội. Cách hồ Hoàn Kiếm 3 phút đi bộ, nơi đây có nhà hàng và quầy lễ tân 24 giờ. Các điểm tham quan gần khách sạn gồm có Đền Ngọc Sơn và Tháp Rùa, đều cách đó 3 phút đi bộ. Chợ Đồng Xuân và Nhà hát lớn cách khách sạn 10 phút đi bộ. Sân bay quốc tế Nội Bài cách đó khoảng 45 phút lái xe. Với chủ đề màu đỏ và trắng, mỗi phòng đều được trang trí thanh lịch và có TV truyền hình cáp màn hình phẳng, két an toàn cùng bàn làm việc. Máy pha trà/cà phê và nước đóng chai cũng được cung cấp. La Beaute Boutique Hotel & Spa cung cấp dịch vụ thu đổi ngoại tệ, bàn đặt tour và dịch vụ đặt vé. Ngoài ra dịch vụ cho thuê xe đạp và xe hơi cũng được cung cấp. Bữa sáng tự chọn được phục vụ hàng ngày tại nhà hàng của khách sạn.",6.9
1448,New Hampton Suits-Tam Xuan Centre Hotel,Đà Lạt,"New Hampton Suits-Tam Xuan Centre Hotel cung cấp chỗ nghỉ với sân hiên ở thành phố Đà Lạt thuộc tỉnh Lâm Đồng, cách Quảng trường Lâm Viên 3,1 km và Hồ Xuân Hương 3,3 km. Trong số các tiện nghi của chỗ nghỉ này có lễ tân 24 giờ, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên. Khách sạn cung cấp các phòng gia đình. Tất cả phòng nghỉ tại khách sạn có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Mỗi phòng đều được trang bị tủ để quần áo và ấm đun nước. Công viên Yersin nằm trong bán kính 3,4 km từ New Hampton Suits-Tam Xuan Centre Hotel trong khi Vườn hoa Đà Lạt cách đó 3,5 km. Sân bay gần nhất là sân bay Liên Khương, cách chỗ nghỉ 31 km.",7.9
1449,Thien Ly Hotel,Đà Lạt,"Tọa lạc tại thành phố Đà Lạt, cách Quảng trường Lâm Viên 1,3 km và Hồ Xuân Hương 1,5 km, Thien Ly Hotel cung cấp chỗ nghỉ với sân hiên và WiFi miễn phí cũng như chỗ đỗ xe riêng miễn phí cho khách lái xe. Khách sạn 3 sao này có dịch vụ tiền sảnh và bàn đặt tour. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Tất cả các căn tại khách sạn đều được trang bị TV màn hình phẳng và dép đi trong phòng. Trong số các điểm tham quan nổi tiếng gần Thien Ly Hotel có Công viên Yersin, Biệt thự Hằng Nga (Ngôi nhà điên) và Dinh Bảo Đại. Sân bay gần nhất là sân bay Liên Khương, cách đó 29 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.5
1450,Morning Hotel Phu Quoc,Phú Quốc,"Nằm ở đảo Phú Quốc, cách Chùa Sùng Hưng 7 km, Morning Hotel Phu Quoc cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, quán bar và sảnh khách chung. Trong số các tiện nghi của chỗ nghỉ này còn có lễ tân 24 giờ, bếp chung và WiFi miễn phí trong toàn bộ khuôn viên. Khách sạn này cung cấp các phòng gia đình. Tất cả phòng nghỉ tại khách sạn đều được trang bị máy điều hòa, truyền hình vệ tinh màn hình phẳng, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Mỗi phòng còn có tủ để quần áo và phòng tắm riêng. Morning Hotel Phu Quoc phục vụ bữa sáng à la carte hoặc kiểu Á. Chỗ nghỉ có sân hiên tắm nắng. Sòng bạc Corona và công viên giải trí Vinpearl Land Phú Quốc đều nằm trong bán kính 26 km từ Morning Hotel Phu Quoc.",6.5
